asset_id,filename,source_path,media_type,route_class,route,routing_score,current_quality,post_edit_potential,expected_gain,recoverability,aesthetic_potential,stock_potential,portfolio_potential,legal_readiness,uniqueness,confidence,genre,concepts,description,unrecoverable,partially_fixable,fixable,edit_recipe,marketplaces,legal_warnings,cluster_id,cluster_size,best_in_cluster,megapixels,duration,provenance,proposed_action,completed_action,status,error
358b10c03c692506,P1019368.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019368.JPG,photo,stock_strong,commercial,73,78,79,1,78,46,82,51,100,100,87,landscape,,Lift foreground shadows and crop roof slightly,,,color_cast: channel means 110/122/134,"Correct white balance: neutralise the cast, damped | Straighten: rotate 7.2° anticlockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019368.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
31695f85aaae438e,P1019369.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019369.JPG,photo,duplicate_candidate,commercial,37,17,45,28,56,18,55,18,100,3,82,landscape,,Recover foreground shadows and add local mountain contrast,,some_crushed_shadows: 22.9%; weaker_duplicate: a sharper frame exists in cluster P1019370.JPG (quality 11 points higher),underexposed: mean luma 70; color_cast: channel means 61/71/88,"Adjust exposure: +0.8 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Crop: 16:9 crop -- keep 84% of the frame (x 0-512, y 0-288 of the working image) | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019370.JPG,2,False,24.0,0.0,camera_original,compare_by_hand,,ok,
c278d9ef8d9310aa,P1019370.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019370.JPG,photo,stock_standard,commercial,53,28,55,27,67,25,67,29,100,80,82,landscape,,Open foreground shadows and crop distracting roof,,some_crushed_shadows: 18.9%,color_cast: channel means 71/82/99,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 2.8° clockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019370.JPG,2,True,24.0,0.0,camera_original,keep_in_place,,ok,
4d6887b4fd8c54e0,P1019371.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019371.JPG,photo,stock_strong,commercial,55,22,49,27,67,29,73,30,100,100,82,landscape,,Lift foreground while retaining generous vertical copy space,,some_crushed_shadows: 18.9%,color_cast: channel means 67/78/97,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 6.2° anticlockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019371.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
e1a203f8aa1a11f0,P1019372.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019372.JPG,photo,stock_strong,commercial,55,24,50,26,67,25,77,28,100,100,82,landscape,,Recover dark foreground and emphasize mountain separation,,some_crushed_shadows: 18.2%,color_cast: channel means 68/78/98,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019372.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
302c709f1c829047,P1019373.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019373.JPG,photo,stock_standard,commercial,69,53,73,20,78,49,65,53,100,100,87,landscape,,Lift garden shadows and clarify partially obscured mountain,,,underexposed: mean luma 68; color_cast: channel means 61/69/82,"Adjust exposure: +0.8 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Crop: 16:9 crop -- keep 84% of the frame (x 0-512, y 0-288 of the working image) | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019373.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
bde02955294d735d,P1019374.MP4,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019374.MP4,video,trash,editorial,21,67,14,-53,0,10,10,3,50,100,62,unknown,,,unusable_duration: 2.5s is below 3.0s; no_usable_segment: no run of 3.0s meets the quality floor,exposure_drift: luma swings 71; exposure_drift: flicker sigma 12.4,,,,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared; Provenance undeclared: confirm this is a camera original,P1019374.MP4,1,True,8.29,2.502,unknown,quarantine,,ok,
74d9f1d25e12d419,P1019375.MP4,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019375.MP4,video,review,editorial,35,34,34,0,67,26,23,18,50,100,62,unknown,,,,exposure_drift: flicker sigma 10.4,needs_trim: usable body is 10.3-13.4s (3.0s),,Alamy; Adobe Stock; 123RF; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared; Provenance undeclared: confirm this is a camera original,P1019375.MP4,1,True,8.29,17.517,unknown,hold_for_review,,ok,
7d3272235b70fb32,P1019376.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019376.JPG,photo,review,editorial,67,75,83,8,67,77,28,76,15,79,87,reportage,,Recover sky and straighten sign perspective,,some_clipped_highlights: 6.7%,mild_noise: sigma 4.7,"Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Apply luminance denoise: restrained | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared,P1019377.JPG,2,False,24.0,0.0,camera_original,hold_for_review,,ok,
614aad72d812a4f6,P1019377.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019377.JPG,photo,review,editorial,65,75,83,8,67,70,30,69,15,79,87,reportage,,Recover sky and center attention on heritage sign,,some_clipped_highlights: 6.7%,mild_noise: sigma 4.8,"Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 0.8° anticlockwise | Apply luminance denoise: restrained | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared,P1019377.JPG,2,True,24.0,0.0,camera_original,hold_for_review,,ok,
