filename,source_path,destination,route_class,route,routing_score,post_edit_potential,current_quality,expected_gain,confidence,genre,proposed_action,reason
P1019368.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019368.JPG,stock/strong,stock_strong,commercial,71,79,78,1,87,landscape,keep_in_place,stock potential 91 is strong
P1019369.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019369.JPG,duplicate_review,duplicate_candidate,commercial,40,47,17,30,82,landscape,compare_by_hand,a sharper frame exists in this group (11 points higher); compare them by hand
P1019370.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019370.JPG,stock/strong,stock_strong,commercial,54,55,28,27,82,landscape,keep_in_place,stock potential 78 is strong
P1019371.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019371.JPG,stock/standard,stock_standard,commercial,54,49,22,27,82,landscape,keep_in_place,stock potential 60 is usable after the suggested edit
P1019372.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019372.JPG,stock/standard,stock_standard,commercial,53,50,24,26,82,landscape,keep_in_place,stock potential 64 is usable after the suggested edit
P1019373.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019373.JPG,stock/standard,stock_standard,commercial,69,73,53,20,87,landscape,keep_in_place,stock potential 64 is usable after the suggested edit
P1019376.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019376.JPG,manual_review,review,editorial,65,83,75,8,87,reportage,hold_for_review,"recoverable (83 potential) but below the stock floor (45): keep for the archive or decide by hand; faces and logos present: a release is required, so commercial stock is blocked in code"
P1019377.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019377.JPG,manual_review,review,editorial,64,83,75,8,87,reportage,hold_for_review,"recoverable (83 potential) but below the stock floor (45): keep for the archive or decide by hand; faces and logos present: a release is required, so commercial stock is blocked in code"
P1019378.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019378.JPG,manual_review,review,editorial,61,78,69,9,87,reportage,hold_for_review,"recoverable (78 potential) but below the stock floor (45): keep for the archive or decide by hand; faces and logos present: a release is required, so commercial stock is blocked in code"
P1019379.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019379.JPG,portfolio/flagship,flagship,editorial,72,77,71,6,92,street,keep_in_place,"portfolio potential 85 clears the absolute floor, ranks near the top of its genre, and the artistic read raises no objection; faces present: a release is required, so commercial stock is blocked in code"
P1019380.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019380.JPG,manual_review,review,editorial,64,74,67,7,87,street,hold_for_review,"recoverable (74 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019381.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019381.JPG,manual_review,review,editorial,69,76,69,7,87,street,hold_for_review,"recoverable (76 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019382.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019382.JPG,manual_review,review,editorial,70,76,70,6,87,portrait,hold_for_review,"recoverable (76 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019383.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019383.JPG,manual_review,review,editorial,67,74,64,10,87,portrait,hold_for_review,"recoverable (74 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019384.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019384.JPG,manual_review,review,editorial,63,74,64,10,87,portrait,hold_for_review,"recoverable (74 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019385.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019385.JPG,manual_review,review,editorial,60,73,63,10,87,portrait,hold_for_review,"recoverable (73 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019386.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019386.JPG,manual_review,review,editorial,71,78,72,6,87,portrait,hold_for_review,"recoverable (78 potential) but below the stock floor (45): keep for the archive or decide by hand; faces present: a release is required, so commercial stock is blocked in code"
P1019387.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019387.JPG,stock/strong,stock_strong,commercial,71,88,87,1,92,architecture,keep_in_place,stock potential 74 is strong
P1019388.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019388.JPG,stock/strong,stock_strong,commercial,76,88,87,1,92,architecture,keep_in_place,stock potential 83 is strong
P1019389.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019389.JPG,stock/standard,stock_standard,editorial,72,89,87,2,92,architecture,keep_in_place,"stock potential 63 is usable after the suggested edit; faces present: a release is required, so commercial stock is blocked in code"
P1019390.JPG,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019390.JPG,duplicate_review,duplicate_candidate,commercial,61,79,71,8,92,architecture,compare_by_hand,a sharper frame exists in this group (16 points higher); compare them by hand
